column_label,STNAME,AGENCY,POP,GROUP,total_arrests_race_data,total_White_arrests,total_African_American_arrests,total_violent_arrests,total_marijuana_possession_arrests_race_data,total_White_marijuana_possession_arrests,total_African_American_marijuana_possession_arrests,total_marijuana_possession_and_sale_arrests_race_data,total_White_marijuana_possession_and_sale_arrests,total_African_American_marijuana_possession_and_sale_arrests,total_non_violent_non_drug_misdemeanor_arrests_race_data,total_White_non_drug_misdemeanor_arrests,total_African_American_non_drug_misdemeanor_arrests
UCR_2015,TEXAS,PLANO,282968,1C,10499,7423,2653,1751,279,179,90,284,181,92,1076,892,146
UCR_2015,TEXAS,SAN ANTONIO,1463586,1A,74698,65238,9436,21934,4553,3918,633,4566,3929,635,2419,2189,228
UCR_2015,VA,VIRGINIA BEACH,452797,1C,23680,13675,9691,5057,1066,489,559,1158,522,617,3693,2507,1162
UCR_2015,WASH,SEATTLE,683700,1B,15266,8373,5519,6442,15,4,11,76,25,48,491,310,141
UCR_2015,WIS,MILWAUKEE,600400,1B,30055,7123,22514,8529,1253,231,1007,1533,262,1252,5966,1600,4279
UCR_2016,ALASKA,ANCHORAGE,299097,1C,14100,6775,1955,4631,118,61,22,121,63,22,896,357,137
UCR_2016,ARIZ,MESA,478277,1C,26858,21523,3186,6001,776,600,123,795,612,130,3036,2244,365
UCR_2016,ARIZ,PHOENIX,1586611,1A,55197,41527,10144,18640,1618,1194,358,1818,1349,398,3571,2501,680
UCR_2016,ARIZ,TUCSON,533663,1B,40673,32578,5190,11148,1454,1187,196,1465,1193,201,4919,3782,592
UCR_2016,CALIF,ANAHEIM,353504,1C,14191,12744,996,3045,8,8,0,22,19,2,683,634,35
UCR_2016,CALIF,BAKERSFIELD,378788,1C,32381,26144,5844,5232,43,30,11,97,65,30,2473,1933,506
UCR_2016,CALIF,FRESNO,524796,1B,22998,17473,4483,6675,133,113,12,204,145,28,1329,1025,258
UCR_2016,CALIF,LONG BEACH,476476,1C,19149,12993,5866,4046,26,19,5,104,67,34,1960,1429,514
UCR_2016,CALIF,LOS ANGELES,4007905,1A,86600,59629,26450,25011,144,117,26,983,655,324,5434,3961,1354
UCR_2016,CALIF,OAKLAND,424998,1C,14163,4210,9294,4084,31,9,20,281,71,196,827,318,466
UCR_2016,CALIF,RIVERSIDE,325896,1C,12510,10386,1982,3268,20,15,5,35,27,7,431,340,89
UCR_2016,CALIF,SACRAMENTO,495471,1C,23680,12917,9218,5335,86,46,34,339,104,131,1719,1127,478
UCR_2016,CALIF,SAN DIEGO,1413414,1A,48012,33894,11762,8611,107,84,12,202,154,26,3040,2466,453
UCR_2016,CALIF,SAN FRANCISCO,871155,1B,17305,9741,6733,4670,8,4,3,118,54,55,1147,774,309
UCR_2016,CALIF,SAN JOSE,1041844,1A,17424,13742,2011,4539,62,60,0,199,154,19,863,734,74
UCR_2016,CALIF,SANTA ANA,337419,1C,10897,10148,464,1919,102,100,2,134,129,2,800,761,20
UCR_2016,CALIF,STOCKTON,308348,1C,7062,4039,2460,2427,35,18,14,88,45,35,1021,650,292
UCR_2016,COLO,AURORA,366477,1C,20718,12695,7558,5290,262,155,104,407,263,117,2850,1585,1211
UCR_2016,COLO,COLORADO SPRINGS,464113,1C,22226,17732,4157,5717,364,305,57,382,322,58,1317,970,321
UCR_2016,COLO,DENVER,699259,1B,37573,26910,9836,10218,462,346,111,555,409,132,4814,3353,1212
UCR_2016,GA,ATLANTA,472579,1C,29490,3300,26083,5878,2667,133,2529,2762,137,2620,6276,945,5315
UCR_2016,ILL,CHICAGO,2725153,1A,61507,16380,44620,27688,NA,NA,NA,NA,NA,NA,5254,1817,3401
UCR_2016,IND,INDIANAPOLIS,866351,1B,37235,17837,19171,10658,NA,NA,NA,NA,NA,NA,2231,1087,1107
UCR_2016,KANS,WICHITA,391399,1C,11690,7708,3793,4710,472,238,223,491,248,231,833,578,240
UCR_2016,KY,LOUISVILLE METRO,683825,1B,55593,32222,23167,9030,2862,1195,1652,2968,1251,1700,2089,1142,938
UCR_2016,MASS,BOSTON,673880,1B,13957,6438,7261,5985,33,10,22,248,72,171,797,416,367
UCR_2016,MD,BALTIMORE,618385,1B,41753,5982,35598,10632,471,21,449,511,21,489,884,128,752
